position;x;y;z
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.01;0.99
0;0.06;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.06;0.00;1.00
0;0.07;0.00;1.00
2;-0.84;0.00;0.30
2;-0.92;0.01;-0.08
2;-0.91;0.00;-0.08
2;-0.92;0.01;-0.08
0;0.14;0.03;1.00
1;1.05;0.01;0.08
1;1.06;0.01;-0.04
1;1.06;0.01;-0.04
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.06;0.01;1.00
0;0.07;0.01;1.00
0;0.06;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.01
0;0.06;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;0.99
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.01;0.99
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.08;0.00;0.98
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.02
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.06;0.01;1.00
0;0.07;0.01;0.99
0;0.07;0.00;1.00
0;0.06;0.01;0.99
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.06;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.01
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.06;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.01;1.00
0;0.07;0.00;1.01
0;0.06;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.06;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.02
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;0.99
0;0.07;0.01;0.99
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.06;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.06;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;0.99
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.06;0.01;0.97
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.00;0.99
0;0.06;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.01
0;0.07;0.00;0.99
0;0.07;0.01;1.00
0;0.06;0.00;1.00
0;0.06;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.06;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;0.99
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.01
0;0.06;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.08;0.01;0.97
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.01;0.99
0;0.07;0.01;1.01
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.01
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.06;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;0.99
0;0.07;0.01;0.99
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.06;0.00;1.00
0;0.06;0.00;0.99
0;0.06;0.00;1.00
0;0.06;0.01;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
0;0.07;0.00;1.00
